"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,199801.890795,1980.951581,"ops/s",0.5,1
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,198615.801330,2867.355568,"ops/s",0.5,2
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,201474.656355,880.340808,"ops/s",0.5,4
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,200609.007340,1419.196915,"ops/s",0.5,8
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,126735.776865,369.574803,"ops/s",0.5,16
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,127037.417853,282.082702,"ops/s",0.5,32
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,125975.358502,2967.893585,"ops/s",0.5,64
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,126420.448049,1045.544832,"ops/s",0.5,128
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,80941.346203,589.018406,"ops/s",0.5,256
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,80758.968148,767.319410,"ops/s",0.5,512
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,79279.774457,472.354344,"ops/s",0.5,1024
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,78157.937498,648.282967,"ops/s",0.5,2048
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,48696.297757,192.594718,"ops/s",0.5,4096
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,46319.638434,573.674138,"ops/s",0.5,8192
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,47272.870578,244.327577,"ops/s",0.5,16384
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,47384.500166,281.440870,"ops/s",0.5,32768
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,36225.067057,151.205462,"ops/s",0.5,65536
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,35731.513672,123.490738,"ops/s",0.5,131072
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,35169.996611,143.763763,"ops/s",0.5,262144
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,34827.425510,155.008661,"ops/s",0.5,524288
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,24795.102984,221.607780,"ops/s",0.5,1048576
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,24617.956037,122.693932,"ops/s",0.5,2097152
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,24493.095409,192.846581,"ops/s",0.5,4194304
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,23999.392852,197.762555,"ops/s",0.5,8388608
"thrive.BenchmarkGet_IntHamt16Java.hittingGetIntHamt16Java","thrpt",1,60,18253.473010,175.018105,"ops/s",0.5,16777316
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,256167.649650,733.645816,"ops/s",0.5,1
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,254864.549320,1689.243673,"ops/s",0.5,2
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,255988.089671,629.520881,"ops/s",0.5,4
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,255501.140364,1287.930321,"ops/s",0.5,8
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,202748.968981,2177.188049,"ops/s",0.5,16
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,182073.845812,820.779534,"ops/s",0.5,32
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,180437.409266,2526.325643,"ops/s",0.5,64
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,182570.619381,432.963433,"ops/s",0.5,128
"thrive.BenchmarkGet_IntHamt16Java.missingGetIntHamt16Java","thrpt",1,60,115581.760599,416.801315,"ops/s",0.5,256
