"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,201155.393595,811.924261,"ops/s",0.5,1
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,115236.178103,1628.904749,"ops/s",0.5,2
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,88737.611197,574.409128,"ops/s",0.5,4
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,63911.324622,325.208605,"ops/s",0.5,8
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,47351.253118,181.929725,"ops/s",0.5,16
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,37187.804271,156.962834,"ops/s",0.5,32
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,32876.720335,158.144756,"ops/s",0.5,64
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,24838.703377,101.010944,"ops/s",0.5,128
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,18828.255502,62.013630,"ops/s",0.5,256
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,16193.481241,124.000617,"ops/s",0.5,512
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,13156.911801,73.957214,"ops/s",0.5,1024
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,10381.619252,54.853638,"ops/s",0.5,2048
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,8965.818395,33.195117,"ops/s",0.5,4096
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,7807.423380,33.334648,"ops/s",0.5,8192
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,7060.578097,23.532956,"ops/s",0.5,16384
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,6216.463082,18.767577,"ops/s",0.5,32768
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,4878.288300,24.065693,"ops/s",0.5,65536
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,5709.461505,22.794361,"ops/s",0.5,131072
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,3792.053449,34.599061,"ops/s",0.5,262144
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,3423.444766,21.539844,"ops/s",0.5,524288
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,2878.065591,10.429357,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,2453.618611,18.633681,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,2093.511861,20.539868,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,1985.684501,16.109727,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ClojurePersistentTreeMap.hittingGetClojurePersistentTreeMap","thrpt",1,60,1847.413552,23.810931,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,183845.174439,507.678133,"ops/s",0.5,1
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,88510.484006,526.478820,"ops/s",0.5,2
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,79917.686649,416.517464,"ops/s",0.5,4
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,40571.269582,272.689798,"ops/s",0.5,8
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,39117.891773,192.640448,"ops/s",0.5,16
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,26852.231016,38.527196,"ops/s",0.5,32
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,21372.143945,206.959805,"ops/s",0.5,64
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,19069.174912,42.307624,"ops/s",0.5,128
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,14848.905294,37.756954,"ops/s",0.5,256
"thrive.BenchmarkGet_ClojurePersistentTreeMap.missingGetClojurePersistentTreeMap","thrpt",1,60,12449.675877,66.582404,"ops/s",0.5,512
