"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,254175.242934,253.281097,"ops/s",0.5,131072
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,252903.947285,483.454149,"ops/s",0.5,262144
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,252762.474797,609.256390,"ops/s",0.5,524288
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,241315.860566,14863.684078,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,242116.348348,14935.004109,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,253426.900345,288.700596,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,247843.318875,3733.109852,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,245355.728408,515.388216,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,109558.901439,1167.181296,"ops/s",0.5,1
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,66964.523602,918.595568,"ops/s",0.5,2
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,51366.695985,314.528700,"ops/s",0.5,4
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,33845.630983,477.370095,"ops/s",0.5,8
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,25008.470528,145.006147,"ops/s",0.5,16
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,26339.897656,179.258230,"ops/s",0.5,32
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,25321.194794,42.183810,"ops/s",0.5,64
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,24846.454505,128.979390,"ops/s",0.5,128
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,24274.785410,74.368990,"ops/s",0.5,256
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,22866.411563,41.834250,"ops/s",0.5,512
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,21299.541382,35.160208,"ops/s",0.5,1024
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,20542.337512,66.883451,"ops/s",0.5,2048
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,19893.650562,58.099755,"ops/s",0.5,4096
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,18867.687582,40.029833,"ops/s",0.5,8192
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,17689.938319,24.437100,"ops/s",0.5,16384
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,17276.818525,35.336462,"ops/s",0.5,32768
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,17000.498658,39.643372,"ops/s",0.5,65536
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,16742.460902,57.763564,"ops/s",0.5,131072
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,16248.907254,127.813581,"ops/s",0.5,262144
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,14483.887614,64.576431,"ops/s",0.5,524288
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,14115.465906,28.004192,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,13923.978904,25.744996,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,13374.306192,52.053448,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,12828.300869,24.935750,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,12086.341060,22.107625,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,105985.927752,249.363324,"ops/s",0.5,1
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,77078.796452,129.957219,"ops/s",0.5,2
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,51064.852470,510.861230,"ops/s",0.5,4
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,30853.216728,37.772492,"ops/s",0.5,8
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,28194.511047,162.075574,"ops/s",0.5,16
"thrive.BenchmarkGet_ClojurePersistentHashMap.missingGetClojurePersistentHashMap","thrpt",1,60,27527.925218,160.657764,"ops/s",0.5,32
