"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,81798.166231,5304.735755,"ops/s",0.5,65536
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83333.744768,4814.655835,"ops/s",0.5,131072
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,80570.767732,5040.613523,"ops/s",0.5,262144
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,84075.454346,5230.535636,"ops/s",0.5,524288
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,80641.247582,5210.384369,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,82442.919166,5067.296413,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83941.450083,3997.224884,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,75967.365804,5378.320802,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,64145.369803,6841.452007,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87609.267302,5232.529684,"ops/s",0.75,1
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87965.564980,5421.858764,"ops/s",0.75,2
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,92085.365804,9587.629483,"ops/s",0.75,4
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,96200.399275,9448.262260,"ops/s",0.75,8
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,95613.663459,9964.762459,"ops/s",0.75,16
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,114529.180908,11965.651876,"ops/s",0.75,32
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86636.863596,5408.231674,"ops/s",0.75,64
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86097.540034,5514.102890,"ops/s",0.75,128
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86403.845151,5102.158695,"ops/s",0.75,256
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87773.986704,5075.475218,"ops/s",0.75,512
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87352.599828,5412.245786,"ops/s",0.75,1024
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,85999.922665,5146.230276,"ops/s",0.75,2048
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87007.567904,5294.729780,"ops/s",0.75,4096
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86941.824352,5148.616768,"ops/s",0.75,8192
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83999.789477,5283.507027,"ops/s",0.75,16384
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,84350.856367,5078.630022,"ops/s",0.75,32768
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83315.659732,5515.422737,"ops/s",0.75,65536
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83683.390106,4989.301713,"ops/s",0.75,131072
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,89439.495503,9623.168303,"ops/s",0.75,262144
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,91321.746616,12019.903459,"ops/s",0.75,524288
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,79836.028407,7672.132336,"ops/s",0.75,1048576
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,100645.907955,10485.940108,"ops/s",0.75,2097152
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,74965.763163,7602.972836,"ops/s",0.75,4194304
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,81961.757563,5114.024390,"ops/s",0.75,8388608
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,76947.922807,5060.330001,"ops/s",0.75,16777316
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,105740.242508,12970.657894,"ops/s",0.25,1
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,109870.464014,11157.676287,"ops/s",0.25,2
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,114195.125268,9956.113563,"ops/s",0.25,4
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,111462.092566,11404.667628,"ops/s",0.25,8
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,112949.721805,9972.959973,"ops/s",0.25,16
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,110444.538524,10053.903660,"ops/s",0.25,32
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,113561.148654,10193.913803,"ops/s",0.25,64
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,115889.737997,8333.338482,"ops/s",0.25,128
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,108603.636691,9725.578305,"ops/s",0.25,256
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,113617.921595,9681.504661,"ops/s",0.25,512
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,111093.331797,9500.972353,"ops/s",0.25,1024
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87115.694332,5052.856980,"ops/s",0.25,2048
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,83440.863188,5117.443736,"ops/s",0.25,4096
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,83351.318569,5719.709070,"ops/s",0.25,8192
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,83804.142959,4806.301411,"ops/s",0.25,16384
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,84045.274017,5332.496414,"ops/s",0.25,32768
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,82836.282369,5007.967109,"ops/s",0.25,65536
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,81372.556253,4666.925365,"ops/s",0.25,131072
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,83454.431910,5330.274797,"ops/s",0.25,262144
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,84926.126731,11841.560333,"ops/s",0.25,524288
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,75530.410021,7220.519696,"ops/s",0.25,1048576
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,86308.537627,9820.738952,"ops/s",0.25,2097152
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,81738.131725,10278.073365,"ops/s",0.25,4194304
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,52940.112155,4820.446286,"ops/s",0.25,8388608
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,61631.054370,6605.035541,"ops/s",0.25,16777316
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87923.571721,5515.070392,"ops/s",0.5,1
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,85242.849281,5555.798699,"ops/s",0.5,2
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87791.095348,5306.687811,"ops/s",0.5,4
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,85582.583656,5703.451424,"ops/s",0.5,8
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,88514.663963,5287.807551,"ops/s",0.5,16
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87752.635934,5501.975171,"ops/s",0.5,32
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,83795.807099,7326.775376,"ops/s",0.5,64
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,86355.715103,5104.363792,"ops/s",0.5,128
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87426.008075,5294.871645,"ops/s",0.5,256
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,86623.923629,5053.482318,"ops/s",0.5,512
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87010.300601,5045.694340,"ops/s",0.5,1024
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,87007.396810,5253.946503,"ops/s",0.5,2048
