test,name,amount,size
lin,ClojureRrbMap,16,600
lin,ClojureRrbMap,32,728
lin,ClojureRrbMap,64,1040
lin,ClojureRrbMap,128,1664
lin,ClojureRrbMap,256,2912
lin,ClojureRrbMap,512,5408
lin,ClojureRrbMap,1024,10400
lin,ClojureRrbMap,2048,21008
lin,ClojureRrbMap,4096,41600
lin,ClojureRrbMap,8192,82784
lin,ClojureRrbMap,16384,165152
lin,ClojureRrbMap,32768,329888
lin,ClojureRrbMap,65536,659984
lin,ClojureRrbMap,131072,1319552
lin,ClojureRrbMap,262144,2638688
lin,ClojureRrbMap,524288,5276960
lin,ClojureRrbMap,1048576,10553504
lin,ClojureRrbMap,2097152,21107216
lin,ClojureRrbMap,4194304,42214016
lin,ClojureRrbMap,8388608,84427616
lin,IntHamt64Java,1,152
lin,IntHamt64Java,2,160
lin,IntHamt64Java,4,184
lin,IntHamt64Java,8,232
lin,IntHamt64Java,16,328
lin,IntHamt64Java,32,520
lin,IntHamt64Java,64,14184
lin,IntHamt64Java,128,26216
lin,IntHamt64Java,256,50280
lin,IntHamt64Java,512,98408
lin,IntHamt64Java,1024,194664
lin,IntHamt64Java,2048,387176
lin,IntHamt64Java,4096,575592
lin,IntHamt64Java,8192,1083496
lin,IntHamt64Java,16384,2099304
lin,IntHamt64Java,32768,4130920
lin,IntHamt64Java,65536,8194152
lin,IntHamt64Java,131072,16320616
lin,IntHamt64Java,262144,28379240
lin,IntHamt64Java,524288,54593640
lin,IntHamt64Java,1048576,107022440
lin,IntHamt64Java,2097152,211880040
lin,IntHamt64Java,4194304,421595240
lin,IntHamt64Java,8388608,841025640
lin,PaguroRrbMap,1,176
lin,PaguroRrbMap,2,184
lin,PaguroRrbMap,4,200
lin,PaguroRrbMap,8,232
lin,PaguroRrbMap,16,296
lin,PaguroRrbMap,32,424
lin,PaguroRrbMap,64,680
lin,PaguroRrbMap,128,1368
lin,PaguroRrbMap,256,2616
lin,PaguroRrbMap,512,5112
lin,PaguroRrbMap,1024,10104
lin,PaguroRrbMap,2048,20216
lin,PaguroRrbMap,4096,40312
lin,PaguroRrbMap,8192,80504
lin,PaguroRrbMap,16384,160888
lin,PaguroRrbMap,32768,321656
lin,PaguroRrbMap,65536,643320
lin,PaguroRrbMap,131072,1286520
lin,PaguroRrbMap,262144,2572920
lin,PaguroRrbMap,524288,5145720
lin,PaguroRrbMap,1048576,10291320
lin,PaguroRrbMap,2097152,20582648
lin,PaguroRrbMap,4194304,41165176
lin,PaguroRrbMap,8388608,82330232
lin,PaguroVectorMap,1,464
lin,PaguroVectorMap,2,472
lin,PaguroVectorMap,4,488
lin,PaguroVectorMap,8,520
lin,PaguroVectorMap,16,584
lin,PaguroVectorMap,32,712
lin,PaguroVectorMap,64,1024
lin,PaguroVectorMap,128,1648
lin,PaguroVectorMap,256,2896
lin,PaguroVectorMap,512,5392
lin,PaguroVectorMap,1024,10384
lin,PaguroVectorMap,2048,20992
lin,PaguroVectorMap,4096,41584
lin,PaguroVectorMap,8192,82768
lin,PaguroVectorMap,16384,165136
lin,PaguroVectorMap,32768,329872
lin,PaguroVectorMap,65536,659968
lin,PaguroVectorMap,131072,1319536
lin,PaguroVectorMap,262144,2638672
lin,PaguroVectorMap,524288,5276944
lin,PaguroVectorMap,1048576,10553488
lin,PaguroVectorMap,2097152,21107200
lin,PaguroVectorMap,4194304,42214000
lin,PaguroVectorMap,8388608,84427600
lin,PaguroHashMap,1,256
lin,PaguroHashMap,2,296
lin,PaguroHashMap,4,376
lin,PaguroHashMap,8,536
lin,PaguroHashMap,16,856
lin,PaguroHashMap,32,4056
lin,PaguroHashMap,64,5336
lin,PaguroHashMap,128,7896
lin,PaguroHashMap,256,13016
lin,PaguroHashMap,512,23256
lin,PaguroHashMap,1024,125656
lin,PaguroHashMap,2048,166616
lin,PaguroHashMap,4096,248536
lin,PaguroHashMap,8192,412376
lin,PaguroHashMap,16384,740056
lin,PaguroHashMap,32768,4016856
lin,PaguroHashMap,65536,5327576
lin,PaguroHashMap,131072,7949016
lin,PaguroHashMap,262144,13191896
lin,PaguroHashMap,524288,23677656
lin,PaguroHashMap,1048576,128535256
lin,PaguroHashMap,2097152,170478296
lin,PaguroHashMap,4194304,254364376
lin,PaguroHashMap,8388608,422136536
lin,ScalaHashMap,1,168
lin,ScalaHashMap,2,208
lin,ScalaHashMap,4,296
lin,ScalaHashMap,8,472
lin,ScalaHashMap,16,824
lin,ScalaHashMap,32,2256
lin,ScalaHashMap,64,5344
lin,ScalaHashMap,128,9880
lin,ScalaHashMap,256,18120
lin,ScalaHashMap,512,36160
lin,ScalaHashMap,1024,78456
lin,ScalaHashMap,2048,167064
lin,ScalaHashMap,4096,309192
lin,ScalaHashMap,8192,561576
lin,ScalaHashMap,16384,1151512
lin,ScalaHashMap,32768,2513664
lin,ScalaHashMap,65536,5251512
lin,ScalaHashMap,131072,9827696
lin,ScalaHashMap,262144,18081608
lin,ScalaHashMap,524288,36889968
lin,ScalaHashMap,1048576,80345072
lin,ScalaHashMap,2097152,167994512
lin,ScalaHashMap,4194304,314371512
lin,ScalaHashMap,8388608,577599824
lin,IntHamt32Java,1,152
lin,IntHamt32Java,2,160
lin,IntHamt32Java,4,184
lin,IntHamt32Java,8,232
lin,IntHamt32Java,16,328
lin,IntHamt32Java,32,520
lin,IntHamt32Java,64,3944
lin,IntHamt32Java,128,4712
lin,IntHamt32Java,256,6248
lin,IntHamt32Java,512,9320
lin,IntHamt32Java,1024,15464
lin,IntHamt32Java,2048,125032
lin,IntHamt32Java,4096,149608
lin,IntHamt32Java,8192,198760
lin,IntHamt32Java,16384,297064
lin,IntHamt32Java,32768,493672
lin,IntHamt32Java,65536,3999848
lin,IntHamt32Java,131072,4786280
lin,IntHamt32Java,262144,6359144
lin,IntHamt32Java,524288,9504872
lin,IntHamt32Java,1048576,15796328
lin,IntHamt32Java,2097152,127993960
lin,IntHamt32Java,4194304,153159784
lin,IntHamt32Java,8388608,203491432
lin,ScalaRrbMap,1,176
lin,ScalaRrbMap,2,184
lin,ScalaRrbMap,4,200
lin,ScalaRrbMap,8,232
lin,ScalaRrbMap,16,296
lin,ScalaRrbMap,32,424
lin,ScalaRrbMap,64,984
lin,ScalaRrbMap,128,1544
lin,ScalaRrbMap,256,2664
lin,ScalaRrbMap,512,4904
lin,ScalaRrbMap,1024,9384
lin,ScalaRrbMap,2048,18904
lin,ScalaRrbMap,4096,37384
lin,ScalaRrbMap,8192,74344
lin,ScalaRrbMap,16384,148264
lin,ScalaRrbMap,32768,296104
lin,ScalaRrbMap,65536,592344
lin,ScalaRrbMap,131072,1184264
lin,ScalaRrbMap,262144,2368104
lin,ScalaRrbMap,524288,4735784
lin,ScalaRrbMap,1048576,9471144
lin,ScalaRrbMap,2097152,18942424
lin,ScalaRrbMap,4194304,37884424
lin,ScalaRrbMap,8388608,75768424
lin,SdkMap,1,176
lin,SdkMap,2,264
lin,SdkMap,4,440
lin,SdkMap,8,792
lin,SdkMap,16,1496
lin,SdkMap,32,2904
lin,SdkMap,64,5720
lin,SdkMap,128,11352
lin,SdkMap,256,22616
lin,SdkMap,512,45144
lin,SdkMap,1024,90200
lin,SdkMap,2048,180312
lin,SdkMap,4096,360536
lin,SdkMap,8192,720984
lin,SdkMap,16384,1441880
lin,SdkMap,32768,2883672
lin,SdkMap,65536,5767256
lin,SdkMap,131072,11534424
lin,SdkMap,262144,23068760
lin,SdkMap,524288,46137432
lin,SdkMap,1048576,92274776
lin,SdkMap,2097152,184549464
lin,SdkMap,4194304,369098840
lin,SdkMap,8388608,738197592
lin,IntChamp64Java,1,120
lin,IntChamp64Java,2,160
lin,IntChamp64Java,4,240
lin,IntChamp64Java,8,400
lin,IntChamp64Java,16,720
lin,IntChamp64Java,32,1360
lin,IntChamp64Java,64,14928
lin,IntChamp64Java,128,27728
lin,IntChamp64Java,256,53328
lin,IntChamp64Java,512,104528
lin,IntChamp64Java,1024,206928
lin,IntChamp64Java,2048,411728
lin,IntChamp64Java,4096,624720
lin,IntChamp64Java,8192,1181776
lin,IntChamp64Java,16384,2295888
lin,IntChamp64Java,32768,4524112
lin,IntChamp64Java,65536,8980560
lin,IntChamp64Java,131072,17893456
lin,IntChamp64Java,262144,31524944
lin,IntChamp64Java,524288,60885072
lin,IntChamp64Java,1048576,119605328
lin,IntChamp64Java,2097152,237045840
lin,IntChamp64Java,4194304,471926864
