test,name,amount,size
lin,ClojureRrbMap,8,536
lin,ClojureRrbMap,16,600
lin,ClojureRrbMap,32,728
lin,ClojureRrbMap,64,1040
lin,ClojureRrbMap,128,1664
lin,ClojureRrbMap,256,2912
lin,ClojureRrbMap,512,5408
lin,ClojureRrbMap,1024,10400
lin,ClojureRrbMap,2048,21008
lin,ClojureRrbMap,4096,41600
lin,ClojureRrbMap,8192,82784
lin,ClojureRrbMap,16384,165152
lin,ClojureRrbMap,32768,329888
lin,ClojureRrbMap,65536,659984
lin,ClojureRrbMap,131072,1319552
lin,ClojureRrbMap,262144,2638688
lin,ClojureRrbMap,524288,5276960
lin,ClojureRrbMap,1048576,10553504
lin,ClojureRrbMap,2097152,21107216
lin,ClojureRrbMap,4194304,42214016
lin,ClojureRrbMap,8388608,84427616
lin,Trie2,1,152
lin,Trie2,2,160
lin,Trie2,4,184
lin,Trie2,8,232
lin,Trie2,16,328
lin,Trie2,32,520
lin,Trie2,64,3944
lin,Trie2,128,4712
lin,Trie2,256,6248
lin,Trie2,512,9320
lin,Trie2,1024,15464
lin,Trie2,2048,125032
lin,Trie2,4096,149608
lin,Trie2,8192,198760
lin,Trie2,16384,297064
lin,Trie2,32768,493672
lin,Trie2,65536,3999848
lin,Trie2,131072,4786280
lin,Trie2,262144,6359144
lin,Trie2,524288,9504872
lin,Trie2,1048576,15796328
lin,Trie2,2097152,127993960
lin,Trie2,4194304,153159784
lin,Trie2,8388608,203491432
lin,Trie2j64,1,152
lin,Trie2j64,2,160
lin,Trie2j64,4,184
lin,Trie2j64,8,232
lin,Trie2j64,16,328
lin,Trie2j64,32,520
lin,Trie2j64,64,14184
lin,Trie2j64,128,26216
lin,Trie2j64,256,50280
lin,Trie2j64,512,98408
lin,Trie2j64,1024,194664
lin,Trie2j64,2048,387176
lin,Trie2j64,4096,575592
lin,Trie2j64,8192,1083496
lin,Trie2j64,16384,2099304
lin,Trie2j64,32768,4130920
lin,Trie2j64,65536,8194152
lin,Trie2j64,131072,16320616
lin,Trie2j64,262144,28379240
lin,Trie2j64,524288,54593640
lin,Trie2j64,1048576,107022440
lin,Trie2j64,2097152,211880040
lin,Trie2j64,4194304,421595240
lin,Trie2j64,8388608,841025640
lin,PaguroRrbMap,1,176
lin,PaguroRrbMap,2,184
lin,PaguroRrbMap,4,200
lin,PaguroRrbMap,8,232
lin,PaguroRrbMap,16,296
lin,PaguroRrbMap,32,424
lin,PaguroRrbMap,64,680
lin,PaguroRrbMap,128,1368
lin,PaguroRrbMap,256,2616
lin,PaguroRrbMap,512,5112
lin,PaguroRrbMap,1024,10104
lin,PaguroRrbMap,2048,20216
lin,PaguroRrbMap,4096,40312
lin,PaguroRrbMap,8192,80504
lin,PaguroRrbMap,16384,160888
lin,PaguroRrbMap,32768,321656
lin,PaguroRrbMap,65536,643320
lin,PaguroRrbMap,131072,1286520
lin,PaguroRrbMap,262144,2572920
lin,PaguroRrbMap,524288,5145720
lin,PaguroRrbMap,1048576,10291320
lin,PaguroRrbMap,2097152,20582648
lin,PaguroRrbMap,4194304,41165176
lin,PaguroRrbMap,8388608,82330232
lin,PaguroHashMap,1,256
lin,PaguroHashMap,2,296
lin,PaguroHashMap,4,376
lin,PaguroHashMap,8,536
lin,PaguroHashMap,16,856
lin,PaguroHashMap,32,4056
lin,PaguroHashMap,64,5336
lin,PaguroHashMap,128,7896
lin,PaguroHashMap,256,13016
lin,PaguroHashMap,512,23256
lin,PaguroHashMap,1024,125656
lin,PaguroHashMap,2048,166616
lin,PaguroHashMap,4096,248536
lin,PaguroHashMap,8192,412376
lin,PaguroHashMap,16384,740056
lin,PaguroHashMap,32768,4016856
lin,PaguroHashMap,65536,5327576
lin,PaguroHashMap,131072,7949016
lin,PaguroHashMap,262144,13191896
lin,PaguroHashMap,524288,23677656
lin,PaguroHashMap,1048576,128535256
lin,PaguroHashMap,2097152,170478296
lin,PaguroHashMap,4194304,254364376
lin,PaguroHashMap,8388608,422136536
lin,ScalaHashMap,1,72
lin,ScalaHashMap,2,216
lin,ScalaHashMap,4,376
lin,ScalaHashMap,8,696
lin,ScalaHashMap,16,1336
lin,ScalaHashMap,32,3064
lin,ScalaHashMap,64,6648
lin,ScalaHashMap,128,12792
lin,ScalaHashMap,256,24632
lin,ScalaHashMap,512,49336
lin,ScalaHashMap,1024,102392
lin,ScalaHashMap,2048,210744
lin,ScalaHashMap,4096,406072
lin,ScalaHashMap,8192,778040
lin,ScalaHashMap,16384,1574584
lin,ScalaHashMap,32768,3277112
lin,ScalaHashMap,65536,6685240
lin,ScalaHashMap,131072,12953272
lin,ScalaHashMap,262144,24967096
lin,ScalaHashMap,524288,50414776
lin,ScalaHashMap,1048576,104824440
lin,ScalaHashMap,2097152,213909496
lin,ScalaHashMap,4194304,414421752
lin,ScalaHashMap,8388608,798189432
lin,ScalaRrbMap,1,424
lin,ScalaRrbMap,2,424
lin,ScalaRrbMap,4,424
lin,ScalaRrbMap,8,424
lin,ScalaRrbMap,16,424
lin,ScalaRrbMap,32,424
lin,ScalaRrbMap,64,984
