"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34673.214588,2194.967149,"ops/s",0.5,4096
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34644.893351,2176.262218,"ops/s",0.5,8192
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,32981.658872,2021.970001,"ops/s",0.5,16384
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,24755.085087,1461.576020,"ops/s",0.5,32768
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,22603.374437,1504.493978,"ops/s",0.5,65536
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,21822.683097,1295.842556,"ops/s",0.5,131072
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,17497.485366,1531.190391,"ops/s",0.5,262144
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,17346.742844,1047.514281,"ops/s",0.5,524288
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,13834.400206,856.571152,"ops/s",0.5,1048576
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,12729.248276,771.780141,"ops/s",0.5,2097152
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,11268.121003,550.816799,"ops/s",0.5,4194304
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,10140.952676,632.864198,"ops/s",0.5,8388608
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,7713.278560,564.590370,"ops/s",0.5,16777316
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,75292.481342,4698.212117,"ops/s",0.75,1
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,74543.514586,4594.559446,"ops/s",0.75,2
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,71867.936787,4448.450668,"ops/s",0.75,4
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,74447.392499,4395.832725,"ops/s",0.75,8
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,74741.487644,4412.957265,"ops/s",0.75,16
