"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31624.168891,1861.697930,"ops/s",0.5,3072
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31152.035335,1861.175096,"ops/s",0.5,3584
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31359.274675,1996.701458,"ops/s",0.5,4096
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,30331.821753,1912.813912,"ops/s",0.5,5120
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,29948.685236,1883.396890,"ops/s",0.5,6144
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,30205.321275,1792.917248,"ops/s",0.5,7168
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,30165.350585,1942.463947,"ops/s",0.5,8192
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,29672.422034,1808.405296,"ops/s",0.5,10240
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,29760.724565,1732.703627,"ops/s",0.5,12288
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,29175.279855,1759.586679,"ops/s",0.5,14336
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,28449.405684,1840.825764,"ops/s",0.5,16384
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,23476.209197,1537.693351,"ops/s",0.5,20480
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,23161.481174,1482.134940,"ops/s",0.5,24576
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,23234.909421,1463.438492,"ops/s",0.5,28672
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,22047.689510,1638.752697,"ops/s",0.5,32768
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,22522.686259,1286.184688,"ops/s",0.5,40960
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,20645.856029,1561.797509,"ops/s",0.5,49152
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,21480.820780,1415.029035,"ops/s",0.5,57344
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,21058.928343,1360.320501,"ops/s",0.5,65536
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,20807.885792,1378.538864,"ops/s",0.5,81920
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,19817.368494,1175.495282,"ops/s",0.5,98304
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,18752.364225,1060.301318,"ops/s",0.5,114688
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,18418.516415,1308.182857,"ops/s",0.5,131072
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,18051.576419,1149.416150,"ops/s",0.5,163840
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,16958.260459,1106.670831,"ops/s",0.5,196608
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,17102.840515,1066.637141,"ops/s",0.5,229376
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,16248.083270,977.732932,"ops/s",0.5,262144
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,15615.050621,1002.638383,"ops/s",0.5,327680
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,14997.947494,916.702563,"ops/s",0.5,393216
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,14816.714038,896.501902,"ops/s",0.5,458752
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,14577.792688,867.663046,"ops/s",0.5,524288
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,10287.346838,617.131162,"ops/s",0.5,655360
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,10003.739781,644.755073,"ops/s",0.5,786432
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,9680.672034,645.168566,"ops/s",0.5,917504
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,9968.917765,697.810869,"ops/s",0.5,1048576
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,9544.170911,684.102867,"ops/s",0.5,1310720
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,9294.941477,631.162247,"ops/s",0.5,1572864
